'NoneType' object has no attribute 'get_text',2016-03-26 15:53:52.090485
'NoneType' object is not subscriptable,2016-03-26 15:53:52.091094
'NoneType' object has no attribute 'title',2016-03-26 15:53:57.365181
'NoneType' object is not subscriptable,2016-03-26 15:53:57.365729
'NoneType' object has no attribute 'title',2016-03-26 15:54:00.072675
'NoneType' object is not subscriptable,2016-03-26 15:54:00.073414
'builtin_function_or_method' object has no attribute 'execute',http://www.google.com,2016-03-26 16:16:01.292687
'builtin_function_or_method' object has no attribute 'execute',http://www.google.com,2016-03-26 16:16:01.302361
'builtin_function_or_method' object has no attribute 'execute',https://www.google.co.jp/intl/ja/options/,2016-03-26 16:16:01.899225
'builtin_function_or_method' object has no attribute 'execute',https://www.google.co.jp/intl/ja/options/,2016-03-26 16:16:01.911350
'builtin_function_or_method' object has no attribute 'execute',https://mail.google.com/mail/?tab=wm,2016-03-26 16:16:03.144050
'builtin_function_or_method' object has no attribute 'execute',https://mail.google.com/mail/?tab=wm,2016-03-26 16:16:03.152432
'builtin_function_or_method' object has no attribute 'execute',http://www.google.co.jp/shopping?hl=ja&tab=wf&ei=JDf2VpLVLOHHmAWEi4q4Aw&ved=0EKkuCAwoDA,2016-03-26 16:16:03.692684
'NoneType' object is not subscriptable,http://www.google.co.jp/shopping?hl=ja&tab=wf&ei=JDf2VpLVLOHHmAWEi4q4Aw&ved=0EKkuCAwoDA,2016-03-26 16:16:03.693195
'builtin_function_or_method' object has no attribute 'execute',http://www.blogger.com/?tab=fj,2016-03-26 16:16:06.195509
'NoneType' object is not subscriptable,http://www.blogger.com/?tab=fj,2016-03-26 16:16:06.196014
'builtin_function_or_method' object has no attribute 'execute',https://maps.google.co.jp/maps?hl=ja&tab=wl,2016-03-26 16:16:07.291699
'NoneType' object is not subscriptable,https://maps.google.co.jp/maps?hl=ja&tab=wl,2016-03-26 16:16:07.292211
'builtin_function_or_method' object has no attribute 'execute',https://books.google.co.jp/bkshp?hl=ja&tab=wp&ei=JDf2VpLVLOHHmAWEi4q4Aw&ved=0EKkuCA4oDg,2016-03-26 16:16:08.046634
'NoneType' object is not subscriptable,https://books.google.co.jp/bkshp?hl=ja&tab=wp&ei=JDf2VpLVLOHHmAWEi4q4Aw&ved=0EKkuCA4oDg,2016-03-26 16:16:08.047154
'builtin_function_or_method' object has no attribute 'execute',https://mail.google.com/mail/?tab=fm,2016-03-26 16:16:09.213812
'NoneType' object is not subscriptable,https://mail.google.com/mail/?tab=fm,2016-03-26 16:16:09.214327
'builtin_function_or_method' object has no attribute 'execute',https://support.google.com/accounts/?p=securesignin&hl=en,2016-03-26 16:16:10.106924
'NoneType' object is not subscriptable,https://support.google.com/accounts/?p=securesignin&hl=en,2016-03-26 16:16:10.107438
'NoneType' object has no attribute 'title',https://accounts.google.com/TOS?loc=JP&hl=ja&privacy=true,2016-03-26 16:16:11.296183
'NoneType' object is not subscriptable,https://accounts.google.com/TOS?loc=JP&hl=ja&privacy=true,2016-03-26 16:16:11.296708
